origin_to_destination,ori_lat,ori_lon,dest_lat,dest_lon,trip_id
busstop2justicecenter,33.950268,-83.98992,33.951724,-83.992929,0
busstop2voterregistrationcenter,33.950268,-83.98992,33.940063,-83.985449,1
busstop2lawrencevillelawn,33.950268,-83.98992,33.954523,-83.986804,2
conclave2justicecenter,33.952846,-83.985369,33.951724,-83.992929,3
conclave2voterregistrationcenter,33.952846,-83.985369,33.940063,-83.985449,4
conclave2lawrencevillelawn,33.952846,-83.985369,33.954523,-83.986804,5
rowhousing2justicecenter,33.958664,-83.990566,33.951724,-83.992929,6
rowhousing2voterregistrationcenter,33.958664,-83.990566,33.940063,-83.985449,7
rowhousing2lawrencevillelawn,33.958664,-83.990566,33.954523,-83.986804,8
starkst2justicecenter,33.9509,-84.002172,33.951724,-83.992929,9
starkst2voterregistrationcenter,33.9509,-84.002172,33.940063,-83.985449,10
starkst2lawrencevillelawn,33.9509,-84.002172,33.954523,-83.986804,11
croganst2justicecenter,33.956722,-83.98294,33.951724,-83.992929,12
croganst2voterregistrationcenter,33.956722,-83.98294,33.940063,-83.985449,13
croganst2lawrencevillelawn,33.956722,-83.98294,33.954523,-83.986804,14
wynfield2justicecenter,33.938979,-83.981022,33.951724,-83.992929,15
wynfield2voterregistrationcenter,33.938979,-83.981022,33.940063,-83.985449,16
wynfield2lawrencevillelawn,33.938979,-83.981022,33.954523,-83.986804,17
